opeid,name,state,subsidized_recipients,subsidized_loans_originated_nb,subsidized_loans_originated_usd,subsidized_disbursements_nb,subsidized_disbursements_usd,unsubsidized_undergraduate_recipients,unsubsidized_undergraduate_loans_originated_nb,unsubsidized_undergraduate_loans_originated_usd,unsubsidized_undergraduate_disbursements_nb,unsubsidized_undergraduate_disbursements_usd,unsubsidized_graduate_recipients,unsubsidized_graduate_loans_originated_nb,unsubsidized_graduate_loans_originated_usd,unsubsidized_graduate_disbursements_nb,unsubsidized_graduate_disbursements_usd,parent_plus_recipients,parent_plus_loans_originated_nb,parent_plus_loans_originated_usd,parent_plus_disbursements_nb,parent_plus_disbursements_usd,graduate_plus_recipients,graduate_plus_loans_originated_nb,graduate_plus_loans_originated_usd,graduate_plus_disbursements_nb,graduate_plus_disbursements_usd
20555,DELTA SCHOOL OF BUSINESS AND TECHNOLOGY,LA,211,234," $855,374.00 ",661," $771,516.00 ",202,222," $1,155,568.00 ",610," $998,260.00 ", - , - , $- ,0, $- ,1,1," $8,155.00 ",1," $2,346.00 ", - , - , $- ,0, $- 
21178,AVEDA INSTITUTE LAFAYETTE,LA,97,108," $313,194.00 ",187," $313,194.00 ",102,110," $362,866.00 ",195," $362,703.00 ", - , - , $- ,0, $- ,5,5," $32,741.00 ",8," $31,988.00 ", - , - , $- ,0, $- 
21661,ELAINE P. NUNEZ COMMUNITY COLLEGE,LA,611,647," $1,907,493.00 ",1036," $1,746,858.00 ",92,105," $231,288.00 ",159," $216,754.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
21662,ITI TECHNICAL COLLEGE,LA,570,689," $2,249,324.00 ",1670," $2,143,048.00 ",553,657," $2,348,682.00 ",1578," $2,113,721.00 ", - , - , $- ,0, $- ,67,83," $304,197.00 ",211," $290,728.00 ", - , - , $- ,0, $- 
21975,BATON ROUGE SCHOOL OF COMPUTERS,LA,39,52," $183,880.00 ",99," $183,880.00 ",39,52," $288,000.00 ",97," $287,041.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
22340,CAMERON COLLEGE,LA,76,76," $242,209.00 ",97," $242,209.00 ",49,49," $91,669.00 ",59," $91,669.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
22584,AVEDA INSTITUTE BATON ROUGE,LA,227,271," $815,692.00 ",477," $812,193.00 ",232,274," $943,258.00 ",495," $942,107.00 ", - , - , $- ,0, $- ,12,12," $89,047.00 ",18," $88,576.00 ", - , - , $- ,0, $- 
22602,DIESEL DRIVING ACADEMY,LA,229,229," $528,424.00 ",438," $505,900.00 ",227,227," $893,220.00 ",432," $857,084.00 ", - , - , $- ,0, $- ,1,1," $7,025.00 ",2," $7,025.00 ", - , - , $- ,0, $- 
23357,BATON ROUGE GENERAL MEDICAL CENTER,LA,86,86," $226,013.00 ",139," $222,660.00 ",91,91," $389,234.00 ",150," $376,187.00 ", - , - , $- ,0, $- ,2,2," $22,800.00 ",3," $22,800.00 ", - , - , $- ,0, $- 
23586,STAGE ONE-THE HAIR SCHOOL,LA,117,148," $385,759.00 ",252," $366,839.00 ",87,129," $251,775.00 ",199," $239,192.00 ", - , - , $- ,0, $- ,3,4," $14,360.00 ",4," $14,100.00 ", - , - , $- ,0, $- 
25183,SOUTH LOUISIANA BEAUTY COLLEGE,LA,24,24," $74,730.00 ",45," $72,214.00 ",24,27," $83,295.00 ",49," $74,016.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
25364,LOUISIANA ACADEMY OF BEAUTY,LA,21,21," $69,750.00 ",34," $59,200.00 ",9,9," $17,000.00 ",15," $14,500.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
25383,DELTA COLLEGE OF ARTS & TECHNOLOGY,LA,595,664," $2,231,210.00 ",1196," $2,163,008.00 ",307,337," $1,005,920.00 ",625," $976,125.00 ", - , - , $- ,0, $- ,3,4," $23,128.00 ",6," $22,483.00 ", - , - , $- ,0, $- 
25485,COSMETOLOGY TRAINING CENTER,LA,72,77," $206,081.00 ",120," $202,929.00 ",50,54," $136,894.00 ",79," $133,783.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
25548,VANGUARD COLLEGE OF COSMETOLOGY A PAUL MITCHELL PARTNER SCHOOL,LA,290,353," $1,019,683.00 ",656," $1,017,883.00 ",304,372," $1,633,300.00 ",698," $1,630,021.00 ", - , - , $- ,0, $- ,37,48," $290,614.00 ",92," $288,993.00 ", - , - , $- ,0, $- 
25822,"GUY'S ACADEMY HAIR, SKIN & NAILS",LA,68,72," $240,750.00 ",135," $238,500.00 ",62,62," $314,857.00 ",117," $312,234.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
26009,AVEDA INSTITUTE COVINGTON,LA,2007,2319," $6,829,154.00 ",4032," $6,820,425.00 ",2013,2354," $9,205,105.00 ",4108," $9,164,995.00 ", - , - , $- ,0, $- ,115,115," $869,341.00 ",192," $858,167.00 ", - , - , $- ,0, $- 
26010,AMERICAN SCHOOL OF BUSINESS,LA,38,38," $109,084.00 ",60," $98,001.00 ",35,50," $156,990.00 ",91," $144,595.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
26011,OPELOUSAS SCHOOL OF COSMETOLOGY,LA,15,15," $51,000.00 ",25," $44,840.00 ",4,4," $9,333.00 ",6," $8,333.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
26068,CAREER TECHNICAL COLLEGE,LA,1289,1752," $4,531,067.00 ",3849," $4,338,314.00 ",1253,1605," $6,432,833.00 ",3452," $5,978,362.00 ",1,1," $5,998.00 ",3," $5,998.00 ",25,30," $102,133.00 ",66," $96,858.00 ", - , - , $- ,0, $- 
26171,BATON ROUGE COLLEGE,LA,9,9," $20,000.00 ",12," $18,250.00 ",10,10," $43,125.00 ",14," $40,125.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
26192,DENHAM SPRINGS BEAUTY COLLEGE,LA,49,57," $133,859.00 ",93," $125,292.00 ",44,54," $140,798.00 ",84," $132,809.00 ", - , - , $- ,0, $- ,1,1," $1,800.00 ",1," $1,644.00 ", - , - , $- ,0, $- 
30104,CRESCENT CITY SCHOOL OF GAMING & BARTENDING,LA,491,492," $1,133,863.00 ",908," $1,095,560.00 ",485,486," $1,811,285.00 ",897," $1,724,870.00 ", - , - , $- ,0, $- ,3,3," $6,666.00 ",5," $4,391.00 ", - , - , $- ,0, $- 
30235,CAMELOT COLLEGE,LA,208,209," $624,112.00 ",357," $578,165.00 ",197,199," $1,010,855.00 ",340," $948,547.00 ", - , - , $- ,0, $- ,1,1," $4,000.00 ",2," $4,000.00 ", - , - , $- ,0, $- 
30309,DIESEL DRIVING ACADEMY,LA,284,284," $647,678.00 ",530," $606,496.00 ",273,273," $1,072,308.00 ",510," $1,007,746.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
30951,GRETNA CAREER COLLEGE,LA,33,34," $106,169.00 ",89," $103,837.00 ",33,53," $175,075.00 ",132," $171,075.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
31062,OUR LADY OF THE LAKE COLLEGE,LA,1060,1158," $4,085,024.00 ",1939," $4,081,611.00 ",1121,1245," $5,480,414.00 ",2078," $5,461,015.00 ",187,190," $3,397,433.00 ",417," $3,390,619.00 ",25,27," $236,707.00 ",48," $229,169.00 ",136,179," $4,051,903.00 ",348," $4,028,398.00 "
32943,BLUE CLIFF COLLEGE,LA,1323,1459," $3,775,534.00 ",3310," $3,547,755.00 ",1304,1509," $5,598,522.00 ",3383," $5,139,796.00 ",1,1," $1,397.00 ",2," $1,397.00 ",22,22," $129,299.00 ",57," $124,474.00 ", - , - , $- ,0, $- 
33326,DELTA COLLEGE,LA,406,415," $1,220,648.00 ",745," $1,149,850.00 ",411,417," $1,000,386.00 ",755," $941,754.00 ", - , - , $- ,0, $- ,9,10," $49,032.00 ",16," $48,032.00 ", - , - , $- ,0, $- 
33563,MEDICAL TRAINING COLLEGE,LA,235,236," $662,481.00 ",431," $626,502.00 ",235,236," $504,538.00 ",434," $483,528.00 ",1,1," $5,002.00 ",2," $5,002.00 ",5,5," $31,043.00 ",9," $26,715.00 ", - , - , $- ,0, $- 
34225,BLUE CLIFF COLLEGE,LA,566,601," $1,591,197.00 ",1277," $1,514,802.00 ",536,588," $2,238,506.00 ",1248," $2,099,372.00 ", - , - , $- ,0, $- ,7,9," $32,696.00 ",18," $32,436.00 ", - , - , $- ,0, $- 
34226,BLUE CLIFF COLLEGE,LA,623,662," $1,737,369.00 ",1290," $1,597,495.00 ",559,622," $2,150,982.00 ",1205," $1,953,250.00 ",1,1," $1,880.00 ",2," $1,880.00 ",10,10," $43,726.00 ",22," $42,226.00 ", - , - , $- ,0, $- 
34803,FORTIS COLLEGE,LA,1948,2164," $6,470,143.00 ",4967," $6,125,030.00 ",1884,2102," $9,393,826.00 ",4812," $8,752,409.00 ", - , - , $- ,0, $- ,55,62," $331,231.00 ",142," $313,770.00 ", - , - , $- ,0, $- 
34984,OMEGA INSTITUTE OF COSMETOLOGY,LA,21,21," $60,856.00 ",40," $59,839.00 ",16,16," $32,428.00 ",28," $31,103.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
37275,MOORE CAREER COLLEGE,LA,27,27," $82,350.00 ",50," $76,322.00 ",26,26," $128,135.00 ",53," $118,945.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
37303,BATON ROUGE COMMUNITY COLLEGE,LA,2728,2824," $8,899,811.00 ",5028," $8,501,388.00 ",2306,2424," $7,077,640.00 ",4230," $6,731,302.00 ", - , - , $- ,0, $- ,9,9," $40,250.00 ",14," $39,958.00 ", - , - , $- ,0, $- 
37893,UNITECH TRAINING ACADEMY,LA,1228,1271," $3,371,940.00 ",2193," $3,035,008.00 ",1149,1189," $4,232,897.00 ",2414," $3,827,760.00 ", - , - , $- ,0, $- ,35,37," $141,944.00 ",68," $127,813.00 ", - , - , $- ,0, $- 
37894,RIVER PARISHES COMMUNITY COLLEGE,LA,780,819," $2,632,800.00 ",1297," $2,302,136.00 ",728,766," $2,892,369.00 ",1223," $2,500,671.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
38105,COURT REPORTING INSTITUTE OF LOUISIANA,LA,28,30," $106,780.00 ",48," $92,530.00 ",28,30," $155,250.00 ",48," $135,250.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
40403,COMPASS CAREER COLLEGE,LA,119,127," $401,578.00 ",226," $364,501.00 ",115,122," $636,207.00 ",221," $594,624.00 ", - , - , $- ,0, $- ,1,1," $5,610.00 ",2," $5,610.00 ", - , - , $- ,0, $- 
41123,LOUISIANA CULINARY INSTITUTE,LA,133,164," $622,009.00 ",276," $601,128.00 ",134,172," $775,477.00 ",288," $739,655.00 ", - , - , $- ,0, $- ,20,27," $262,870.00 ",43," $261,716.00 ", - , - , $- ,0, $- 
41495,A & W HEALTHCARE EDUCATORS,LA,52,60," $194,809.00 ",104," $176,305.00 ",50,55," $299,288.00 ",99," $275,250.00 ", - , - , $- ,0, $- ,2,2," $12,900.00 ",3," $12,900.00 ", - , - , $- ,0, $- 
42170,HEALTHCARE TRAINING INSTITUTE,LA,24,24," $47,051.00 ",41," $47,051.00 ",23,23," $68,946.00 ",41," $68,946.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
2114,AMERICAN INTERNATIONAL COLLEGE,MA,1070,1228," $4,625,301.00 ",2182," $4,619,559.00 ",1168,1528," $5,348,935.00 ",2742," $5,333,786.00 ",1474,1786," $15,885,632.00 ",2735," $15,650,159.00 ",140,158," $1,995,242.00 ",269," $1,965,687.00 ",74,91," $2,022,389.00 ",178," $2,022,389.00 "
2115,AMHERST COLLEGE,MA,190,190," $584,197.00 ",347," $578,435.00 ",214,214," $955,691.00 ",390," $953,024.00 ", - , - , $- ,0, $- ,96,102," $2,308,982.00 ",179," $2,272,652.00 ", - , - , $- ,0, $- 
2116,ANDOVER NEWTON THEOLOGICAL SCHOOL,MA, - , - , $- ,0, $- ,3,3," $27,929.00 ",4," $22,929.00 ",107,130," $1,583,122.00 ",237," $1,546,322.00 ", - , - , $- ,0, $- ,9,13," $116,066.00 ",22," $109,845.00 "
2117,ANNA MARIA COLLEGE,MA,796,1362," $3,290,770.00 ",1487," $3,287,720.00 ",864,1511," $3,132,214.00 ",1634," $3,118,504.00 ",226,404," $1,950,667.00 ",449," $1,945,046.00 ",140,166," $2,337,760.00 ",265," $2,319,852.00 ", - , - , $- ,0, $- 
2118,ASSUMPTION COLLEGE,MA,1384,1409," $6,062,530.00 ",2759," $6,055,855.00 ",1541,1562," $5,321,657.00 ",3045," $5,301,148.00 ",206,263," $3,889,243.00 ",569," $3,883,809.00 ",282,303," $4,740,676.00 ",535," $4,702,502.00 ",4,4," $44,928.00 ",7," $44,928.00 "
2120,MERRIMACK COLLEGE,MA,1381,1425," $5,811,404.00 ",2703," $5,799,721.00 ",1581,1697," $5,342,758.00 ",3187," $5,294,985.00 ",87,108," $1,451,445.00 ",209," $1,452,824.00 ",307,353," $5,832,692.00 ",617," $5,743,938.00 ",3,4," $29,015.00 ",5," $29,015.00 "
2121,BABSON COLLEGE,MA,655,693," $3,044,327.00 ",1323," $3,040,738.00 ",622,655," $2,121,885.00 ",1252," $2,110,438.00 ",456,560," $10,257,609.00 ",1132," $10,076,451.00 ",107,122," $2,782,326.00 ",213," $2,754,106.00 ",92,134," $2,994,227.00 ",257," $2,960,189.00 "
2122,BAY PATH UNIVERSITY,MA,1321,1884," $5,346,504.00 ",3481," $5,335,654.00 ",1287,1820," $5,543,117.00 ",3364," $5,519,856.00 ",507,858," $7,170,105.00 ",1533," $7,141,912.00 ",106,125," $1,278,701.00 ",198," $1,268,693.00 ",150,278," $3,413,418.00 ",393," $3,390,933.00 "
2123,BECKER COLLEGE,MA,1399,1417," $5,362,392.00 ",2638," $5,316,070.00 ",1465,1494," $5,782,258.00 ",2788," $5,707,087.00 ", - , - , $- ,0, $- ,314,335," $5,552,631.00 ",610," $5,521,500.00 ", - , - , $- ,0, $- 
2124,BENTLEY UNIVERSITY,MA,1863,1927," $8,139,631.00 ",3685," $8,129,072.00 ",1968,2088," $6,022,129.00 ",3995," $5,979,383.00 ",289,309," $4,758,440.00 ",495," $4,632,380.00 ",207,241," $4,706,485.00 ",420," $4,649,264.00 ",21,26," $275,745.00 ",39," $275,745.00 "
2126,BERKLEE COLLEGE OF MUSIC,MA,1787,2160," $7,839,519.00 ",3543," $7,818,616.00 ",1858,2198," $5,861,011.00 ",3618," $5,831,681.00 ",11,11," $225,500.00 ",33," $224,742.00 ",581,778," $22,603,853.00 ",1238," $22,322,306.00 ",4,5," $120,763.00 ",11," $120,763.00 "
2128,BOSTON COLLEGE,MA,3569,3628," $16,038,014.00 ",7057," $16,007,257.00 ",1137,1258," $4,055,965.00 ",2339," $4,028,926.00 ",1850,2176," $35,522,567.00 ",3746," $35,220,830.00 ",684,768," $18,248,145.00 ",1420," $18,006,194.00 ",655,942," $13,310,094.00 ",1566," $13,266,156.00 "
2129,BOSTON CONSERVATORY,MA,255,258," $1,152,974.00 ",498," $1,142,790.00 ",274,314," $918,805.00 ",601," $905,503.00 ",113,125," $2,254,747.00 ",225," $2,230,033.00 ",103,108," $3,033,290.00 ",199," $2,967,677.00 ",39,47," $762,250.00 ",80," $730,023.00 "
2130,BOSTON UNIVERSITY,MA,6722,6891," $30,159,839.00 ",13130," $30,108,146.00 ",6865,8703," $20,800,802.00 ",16532," $20,626,985.00 ",5634,8310," $119,032,747.00 ",14445," $118,068,533.00 ",1273,1508," $32,001,870.00 ",2667," $31,563,340.00 ",1749,2503," $46,933,958.00 ",4334," $46,157,495.00 "
2133,BRANDEIS UNIVERSITY,MA,1691,1764," $7,423,083.00 ",3319," $7,406,464.00 ",1614,1803," $4,484,079.00 ",3349," $4,455,353.00 ",444,557," $8,176,292.00 ",970," $8,159,439.00 ",217,257," $5,016,609.00 ",436," $4,952,002.00 ",171,218," $3,587,863.00 ",390," $3,579,821.00 "
2139,CLARK UNIVERSITY,MA,1141,1169," $4,825,778.00 ",2211," $4,818,666.00 ",1240,1325," $4,011,214.00 ",2482," $3,987,221.00 ",181,205," $2,888,750.00 ",391," $2,876,578.00 ",196,223," $3,026,301.00 ",394," $3,003,148.00 ",25,34," $206,637.00 ",62," $206,637.00 "
2140,COLLEGE OF OUR LADY OF THE ELMS,MA,903,951," $4,082,382.00 ",1715," $4,071,097.00 ",905,1066," $3,823,715.00 ",1931," $3,808,403.00 ",116,122," $1,587,895.00 ",216," $1,578,365.00 ",114,115," $1,439,266.00 ",206," $1,426,060.00 ",1,1," $4,007.00 ",2," $4,007.00 "
2141,COLLEGE OF THE HOLY CROSS,MA,1289,1297," $5,696,965.00 ",2542," $5,692,411.00 ",1314,1371," $3,968,054.00 ",2681," $3,938,683.00 ", - , - , $- ,0, $- ,225,246," $5,422,251.00 ",447," $5,338,652.00 ", - , - , $- ,0, $- 
2143,CURRY COLLEGE,MA,1722,1977," $7,306,375.00 ",3584," $7,231,231.00 ",1816,1961," $6,784,233.00 ",3657," $6,654,965.00 ",159,164," $2,320,629.00 ",326," $2,296,863.00 ",270,291," $5,658,446.00 ",531," $5,609,438.00 ",1,1," $6,337.00 ",2," $4,224.00 "
2144,DEAN COLLEGE,MA,709,713," $2,542,272.00 ",1322," $2,529,392.00 ",802,808," $2,829,048.00 ",1498," $2,812,776.00 ", - , - , $- ,0, $- ,209,244," $3,768,203.00 ",428," $3,710,282.00 ", - , - , $- ,0, $- 
2145,EASTERN NAZARENE COLLEGE,MA,588,593," $2,467,190.00 ",1093," $2,458,967.00 ",580,582," $2,208,140.00 ",1092," $2,200,656.00 ",95,95," $1,063,449.00 ",178," $1,062,872.00 ",126,138," $1,666,506.00 ",280," $1,659,695.00 ",1,1," $6,000.00 ",1," $6,000.00 "
2146,EMERSON COLLEGE,MA,1884,1927," $8,339,211.00 ",3618," $8,326,476.00 ",1987,2149," $5,925,898.00 ",4011," $5,885,198.00 ",374,477," $8,318,281.00 ",933," $8,233,263.00 ",438,520," $10,194,567.00 ",847," $10,035,696.00 ",116,170," $2,346,222.00 ",286," $2,326,271.00 "
2147,EMMANUEL COLLEGE,MA,1295,1407," $5,578,259.00 ",2571," $5,570,087.00 ",1447,1687," $4,824,847.00 ",3162," $4,788,772.00 ",103,154," $1,122,739.00 ",252," $1,089,564.00 ",341,371," $6,562,015.00 ",690," $6,476,268.00 ",2,3," $16,684.00 ",4," $16,684.00 "
2148,ENDICOTT COLLEGE,MA,1450,1483," $6,350,175.00 ",2810," $6,342,917.00 ",1575,1627," $4,926,206.00 ",3082," $4,884,175.00 ",329,456," $4,139,829.00 ",745," $4,098,042.00 ",312,361," $5,707,569.00 ",620," $5,672,424.00 ",7,8," $47,030.00 ",11," $47,030.00 "
2149,EPISCOPAL DIVINITY SCHOOL,MA, - , - , $- ,0, $- , - , - , $- ,0, $- ,36,36," $440,640.00 ",67," $438,234.00 ", - , - , $- ,0, $- ,1,1," $3,066.00 ",1," $3,066.00 "
2150,FISHER COLLEGE,MA,1242,1242," $4,354,485.00 ",2947," $3,956,118.00 ",1223,1223," $4,672,894.00 ",2733," $4,127,823.00 ", - , - , $- ,0, $- ,134,135," $1,912,288.00 ",249," $1,836,495.00 ", - , - , $- ,0, $- 
2151,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,MA,424,466," $1,595,077.00 ",771," $1,424,386.00 ",427,470," $1,786,259.00 ",782," $1,598,686.00 ", - , - , $- ,0, $- ,57,62," $640,549.00 ",114," $568,705.00 ", - , - , $- ,0, $- 
2153,GORDON COLLEGE,MA,946,962," $4,007,558.00 ",1791," $3,988,941.00 ",1051,1098," $3,499,555.00 ",2028," $3,466,990.00 ",62,86," $503,413.00 ",113," $503,413.00 ",195,228," $3,464,488.00 ",362," $3,437,701.00 ", - , - , $- ,0, $- 
2154,HELLENIC COLLEGE & HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY,MA,42,42," $182,785.00 ",71," $178,285.00 ",40,40," $131,890.00 ",67," $120,390.00 ",56,56," $778,907.00 ",104," $775,258.00 ",3,3," $37,507.00 ",6," $36,659.00 ",1,1," $6,023.00 ",2," $6,023.00 "
2155,HARVARD UNIVERSITY,MA,281,338," $1,360,777.00 ",541," $1,353,029.00 ",347,410," $2,157,984.00 ",672," $2,144,362.00 ",3422,3583," $67,707,717.00 ",6709," $67,185,906.00 ",179,187," $3,960,856.00 ",336," $3,882,965.00 ",1756,2153," $47,516,493.00 ",3843," $47,158,659.00 "
2157,HEBREW COLLEGE,MA,4,4," $16,500.00 ",7," $16,500.00 ",4,4," $19,378.00 ",7," $19,378.00 ",52,52," $855,639.00 ",104," $840,797.00 ", - , - , $- ,0, $- ,4,4," $66,150.00 ",7," $66,150.00 "
2158,LASELL COLLEGE,MA,1167,1178," $4,859,053.00 ",2218," $4,817,899.00 ",1334,1373," $4,572,497.00 ",2553," $4,515,950.00 ",245,604," $2,672,613.00 ",708," $2,662,078.00 ",294,312," $4,842,836.00 ",549," $4,781,378.00 ",1,1," $6,330.00 ",1," $6,330.00 "
2160,LESLEY UNIVERSITY,MA,1219,1311," $5,022,566.00 ",2410," $5,020,181.00 ",1348,1477," $4,992,680.00 ",2726," $4,976,370.00 ",2328,2546," $32,756,118.00 ",6675," $32,404,175.00 ",243,291," $4,476,123.00 ",503," $4,454,662.00 ",195,260," $2,982,732.00 ",494," $2,982,237.00 "
2161,UNIVERSITY OF MASSACHUSETTS - LOWELL,MA,6296,6509," $25,756,746.00 ",11551," $25,696,551.00 ",7076,7315," $30,382,976.00 ",13117," $30,223,001.00 ",901,949," $12,446,400.00 ",1519," $12,354,133.00 ",423,449," $4,036,705.00 ",766," $3,989,302.00 ",23,29," $161,429.00 ",41," $161,429.00 "
2164,NEW ENGLAND COLLEGE OF OPTOMETRY (THE),MA, - , - , $- ,0, $- , - , - , $- ,0, $- ,198,246," $8,670,517.00 ",637," $8,632,114.00 ", - , - , $- ,0, $- ,60,89," $749,894.00 ",142," $748,058.00 "
2165,MCPHS UNIVERSITY,MA,2518,2931," $12,219,854.00 ",5320," $12,201,676.00 ",2507,3045," $9,422,793.00 ",5495," $9,363,494.00 ",1855,3159," $52,010,171.00 ",7725," $51,721,315.00 ",561,682," $13,623,485.00 ",1208," $13,499,976.00 ",1043,1370," $26,088,120.00 ",2862," $25,959,401.00 "
2167,BERKSHIRE COMMUNITY COLLEGE,MA,915,961," $3,101,525.00 ",1682," $2,938,851.00 ",605,662," $2,319,316.00 ",1142," $2,203,147.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
2168,CAPE COD COMMUNITY COLLEGE,MA,439,462," $1,304,104.00 ",845," $1,302,912.00 ",461,503," $1,723,343.00 ",920," $1,721,294.00 ", - , - , $- ,0, $- ,2,2," $18,500.00 ",4," $18,500.00 ", - , - , $- ,0, $- 
2169,GREENFIELD COMMUNITY COLLEGE,MA,607,697," $1,721,478.00 ",1173," $1,595,644.00 ",366,418," $1,082,002.00 ",699," $1,018,455.00 ",2,2," $3,925.00 ",3," $3,925.00 ",11,12," $61,700.00 ",20," $59,200.00 ", - , - , $- ,0, $- 
2170,HOLYOKE COMMUNITY COLLEGE,MA,1926,2325," $4,935,207.00 ",3891," $4,915,762.00 ",1366,1710," $4,204,704.00 ",2860," $4,175,794.00 ", - , - , $- ,0, $- ,3,4," $7,122.00 ",6," $7,122.00 ", - , - , $- ,0, $- 
2171,MASSACHUSETTS BAY COMMUNITY COLLEGE,MA,1037,1169," $2,463,570.00 ",1794," $2,453,199.00 ",742,825," $2,433,805.00 ",1268," $2,409,919.00 ", - , - , $- ,0, $- ,2,2," $18,500.00 ",4," $18,500.00 ", - , - , $- ,0, $- 
2172,MOUNT WACHUSETT COMMUNITY COLLEGE,MA,1420,1550," $3,586,365.00 ",2701," $3,573,311.00 ",1013,1100," $3,563,358.00 ",1969," $3,532,188.00 ", - , - , $- ,0, $- ,2,2," $9,500.00 ",3," $8,595.00 ", - , - , $- ,0, $- 
2173,NORTH SHORE COMMUNITY COLLEGE,MA,1917,2152," $5,840,955.00 ",3658," $5,434,137.00 ",1133,1260," $3,557,346.00 ",2108," $3,318,803.00 ",8,11," $25,088.00 ",20," $25,088.00 ",6,9," $76,295.00 ",15," $75,253.00 ", - , - , $- ,0, $- 
2174,NORTHERN ESSEX COMMUNITY COLLEGE,MA,1796,2310," $5,290,949.00 ",3037," $5,263,742.00 ",1316,1848," $4,222,811.00 ",2323," $4,195,601.00 ",1,1," $6,000.00 ",2," $6,000.00 ",1,1," $4,400.00 ",2," $4,400.00 ", - , - , $- ,0, $- 
2175,QUINSIGAMOND COMMUNITY COLLEGE,MA,3274,4684," $7,066,683.00 ",6613," $7,032,301.00 ",2030,2738," $6,593,416.00 ",3997," $6,515,052.00 ", - , - , $- ,0, $- ,4,4," $14,740.00 ",6," $14,740.00 ", - , - , $- ,0, $- 
2176,BRISTOL COMMUNITY COLLEGE,MA,1441,1721," $2,871,293.00 ",2892," $2,752,180.00 ",1320,1637," $3,918,559.00 ",2940," $3,756,602.00 ",21,32," $78,990.00 ",56," $70,890.00 ",4,6," $24,453.00 ",9," $24,332.00 ", - , - , $- ,0, $- 
2177,MASSASOIT COMMUNITY COLLEGE,MA,911,1021," $2,390,844.00 ",1629," $2,383,319.00 ",1076,1298," $3,259,720.00 ",2095," $3,209,077.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
2178,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,401,401," $1,492,206.00 ",742," $1,482,750.00 ",528,529," $2,418,273.00 ",987," $2,389,650.00 ",462,482," $8,710,771.00 ",965," $8,607,368.00 ",166,167," $3,700,872.00 ",322," $3,584,384.00 ",137,143," $5,190,023.00 ",285," $5,156,770.00 "
2180,MASSACHUSETTS COLLEGE OF ART AND DESIGN,MA,1015,1023," $4,200,176.00 ",1924," $4,187,261.00 ",1076,1095," $4,019,774.00 ",2031," $3,994,697.00 ",76,88," $1,566,173.00 ",187," $1,552,844.00 ",362,381," $5,329,995.00 ",684," $5,290,805.00 ",27,34," $490,770.00 ",65," $490,770.00 "
2181,MASSACHUSETTS MARITIME ACADEMY,MA,633,633," $2,591,595.00 ",1202," $2,590,403.00 ",857,857," $3,424,592.00 ",1621," $3,413,885.00 ",32,32," $611,458.00 ",63," $608,729.00 ",117,124," $1,427,895.00 ",230," $1,421,717.00 ",18,18," $142,915.00 ",34," $138,660.00 "
2183,BRIDGEWATER STATE UNIVERSITY,MA,5389,5611," $22,191,002.00 ",9840," $22,120,722.00 ",5818,6556," $22,943,568.00 ",11597," $22,730,124.00 ",369,405," $4,834,927.00 ",639," $4,764,870.00 ",426,538," $3,732,556.00 ",788," $3,678,590.00 ", - , - , $- ,0, $- 
2184,FITCHBURG STATE UNIVERSITY,MA,2140,2146," $8,527,837.00 ",3917," $8,504,862.00 ",2269,2273," $8,164,798.00 ",4114," $8,102,529.00 ",171,173," $944,853.00 ",258," $939,117.00 ",180,184," $1,508,079.00 ",333," $1,491,821.00 ", - , - , $- ,0, $- 
